predator,senderID,letterLines,wordLines,numberOfLines,spaces,funkyWords,posEmoticons,neuEmoticons,negEmoticons,consecutiveLetters,alert,blacklist,misspelledWords,negativeSent,positiveSent,message
p,fac3a2081264f1dbb943eaf7165d8fc3,2,-1,30,2,3,0,0,0,-1,1,1,7,-12,10,":x :-* u that a 1st u im me 1st it was ok how was yours misssss uuuuuuuuuuuuuu last night it ok i understand u have fun school no bad night i have one possition to finish up and for the life of me i could not get it right after 3hr of fustration i told the instucted i was going home he was cool with it so how my sexy lady doing yea not worried just ok your brother any thing i can do :d k no school till next week and i am never too tired for u no cant pratice at home no only with u u know better than that or u should by now are u k so any thing excting going on null"
p,fac3a2081264f1dbb943eaf7165d8fc3,1,-1,19,0,1,1,0,0,-1,0,0,3,-2,3,"dam thing is acting up again sorry about that u busy o:-) what your favor food through with what no or is this that slow meaning yahoo k though u were just taking your time on answeing me y if u r busy i understand k what are we ordering i c and what do u want what i cant get me a straigh answer ok k null"
p,fac3a2081264f1dbb943eaf7165d8fc3,0,-1,2,0,0,0,0,0,-1,1,1,1,0,3,"hey sexy have a wonderfull day null"
p,23bffbccce4e395053495c68a5e15b68,2,-1,20,2,5,0,0,0,-1,1,1,1,-4,16,"hey u hung up on me u gonna call me back try? didnt you like talking to me? and so did u u sounded sweet and sexy when u call me back no it isnt...we didnt even talk 5 minutes i will take ya to buy another one so dont worry about that i dont even know where you live though when u call me back how long does that take.....its been almost 2 hrs well they dont take much more than 2 hrs :-p doesnt sound like you are to interested how well wedidnt even talk 5 minutes....geez and i do want to come over but want to talk a lil more than 5 minutes on the phone 10 minutes or so....cause i want you to save a lil for when i am on my way tomorrow so u can call me and see where i am at null"
p,23bffbccce4e395053495c68a5e15b68,0,-1,2,0,0,0,0,0,-1,0,0,1,0,0,"ok then when u call me back u can give me your addy null"
p,d18fb2dc834414a71aace67bee91c432,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"hey hey hey null"
p,aebe7a87ad50fbad92d9931c49cae848,0,-1,3,0,3,0,0,0,-1,0,0,0,0,7,"wow  so glad to hear your voice:x i gotta go to town for a bit  i'll look for you later  bye for now:-* null"
p,d18fb2dc834414a71aace67bee91c432,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"u here? null"
p,03957f443c7790f9642db14bbc59df11,0,-1,2,0,0,0,0,0,-1,0,0,1,0,0,"hey katie  where are you? null"
p,c62283536cf6261e5ffbcb323c8a2571,0,-1,17,0,2,0,0,0,-1,1,1,0,-3,1,"hey what's up what are u doing thursday o ok i'll be there at 12 motorhome problems computer and not done packing computer wasn't working sorry sure got to be in vegas friday wheres your mom going to be she will be there thursday o ok maybe kewl whatever you want go run around naked outside somewhere null"
p,c62283536cf6261e5ffbcb323c8a2571,0,-1,9,1,3,0,0,0,-1,0,0,0,-3,0,"crashed keep crashing can't stay on keeps crashing real bad i'll be on at 10 i have 4 times i'll be on at 10 got to reinstall software again bye null"
p,503343ecf680e0899a3863cc8bf2b9dc,1,-1,15,0,2,0,0,0,-1,2,2,2,-2,11,"hey miss me? uh hu u been horny lately? cause i wanna know lol have u? lol ummm if u were here u would be i do and id get u off i know u want to cum for me u want my hands touching u dont u? ok i wont touch ok lol null"
p,fac3a2081264f1dbb943eaf7165d8fc3,0,-1,4,0,1,0,0,0,-1,1,1,1,0,19,"moring sexy hope u sleep good i would like an answer to what i ask latter today please like i said i know what i would like to get out of this want to her your 1st have a nice day:x null"
p,89319407d854bb82113349ecf7ce3682,2,-1,49,1,4,0,0,0,-1,3,3,2,-8,11,"hihi] ur back sexy  nope stroking my dick jk i just got back ? who? no cam try k i wasnt silly u want me to do it later 4 you  dont u ? r u there i got booted i asked u a question did u get it i didnt see the answer really can u be in ur nighty tonight or tee n undies  u dont wanna or u wanna be undressed all together lol  u tell me i know it gets u hot mom gonna be home k gotta be carefull what time 4 u allowed up til if ur busy chatting i will let u go k h/w whats she doing oh u can see her when she comes in ur room k baby i miss ya mmmmm wish ya were here ok go i will be around maybe invis love ya  null"
p,e788b3a47e4d812ed26036a93272c134,1,-1,15,2,2,0,0,0,-1,1,3,3,-4,3,"hello im good and u? well i was workin on my comp but i got bored so i came online cleanin it out so i can reinstall everything over again something messed up on it and thats the only way i can fix it yepp its just a long process tho anyway what have u been up to? ok have u been keepin up with what i told u to do? did u get your finger in the hole? how did it feel? ok...did it hurt? so why didnt u get your whole finger in that pussy hole? null"
p,e788b3a47e4d812ed26036a93272c134,3,-1,6,0,2,0,0,0,-1,2,2,3,-5,8,"well im wonderin if u goin to turn out to be a good lil slut for me well i dont really know if u dont even finger your pussy everynite like i told u to do i gotta get off of here now...so just do what i told u to do so i can know how good u goin to be for me ok yeah..a friend of mine just came over here ttyl and do what i said baby null"
p,89319407d854bb82113349ecf7ce3682,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"are ya on today null"
p,0599cd3f7fc15849844468b0702ff593,1,-1,16,1,1,0,0,0,-1,2,2,0,-7,7,"i have you i said hi several times and you didnt answer during the last few days it said you were online anyways  how are you doing? it is ok there are lots of good things to do what happened that is the first step towards healing let it go do it that is the only way it will heal yes i would love to suck a dick ???? how did you do this week at school? null"
p,0599cd3f7fc15849844468b0702ff593,6,-1,32,0,2,0,0,0,-1,9,11,2,-29,25,"i am watching the pistons ? good no what? ok no tell me would you let me suck your dick? ok would you suck mine? ok i would like you to suck mine i like you thank you what do you want to do to me sexually? ok you get my dick hard and i would like you use your imagination. think about the things that will get your dick hard mmmmmm then let me suck it ok i wont play with you real i would even swallow your cum really i do like you u are wonderful you are the only male to get me hard i would love to take a lok at your dick i like it i would enjoy yours null"
p,c62283536cf6261e5ffbcb323c8a2571,0,-1,22,1,4,0,0,0,-1,0,0,1,-2,7,"hi how are u great ty yes by the golf course empire ranch rd east of carson going toward dayton yes no where in dayton do you live o ok do you have a b/f are u guy'sclose just wondering you like older guy's 50 no do you o ok can't send you have the older version of yahoo don't know to send i can put one on my profile null"
p,c62283536cf6261e5ffbcb323c8a2571,0,-1,12,0,3,0,0,0,-1,0,0,1,0,0,"haveing problem's it's on there k ty hang on ok won't let me do it chat with u tomorrow i'll be on my web cam 1 p/m ok null"
p,80706012f8f9f1175c8e37c306394727,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"whats up null"
p,c62283536cf6261e5ffbcb323c8a2571,0,-1,4,1,2,0,0,0,-1,0,0,1,-2,2,"where are you hope nothing's wrong   i'll be back at 10 :x:-* null"
p,aebe7a87ad50fbad92d9931c49cae848,1,-1,17,0,1,0,0,0,-1,0,0,2,0,7,"hey cutie still here? busy? why? what have you been doing? getting hit on a lot? have to be careful   lotta freaks out here cool smart girl yep good chicken and tater tots going out? can't oreder one here 2 ok brb null"
p,aebe7a87ad50fbad92d9931c49cae848,1,-1,45,1,4,0,0,0,-1,3,3,7,-5,31,"yep lotta cheese just cheese? cool dingy? ohh dingy  like loopy lol naaah just a girl yep. i stay busy camping in the wilderness a lot she must work a lot long hours damn have other kids at home? darn lol yep naah wait till you're older ohhh yeah  s the smell of diapers is rough nooo be careful lot of girls end up as mothers that didn't mean to be careful good be smart good uh huh wwe'll see yep girls mature faster than boys yep haven't got their priorities right lol brb i used to be no longer 5 years happy now yep stilll here? cool enough to eat now huh dominos? cool null"
p,2d08262caa29b1bebeb24e9ad0c60ece,1,-1,9,0,1,0,0,0,-1,1,1,2,-2,5,"hey babe where have u been i was in la looking for you last week i wanted to meet you it was my only chance for a long time please call me when u get a chance ok 367-8491 i miss you sooooooooooo much kissesssss dan null"
p,c62283536cf6261e5ffbcb323c8a2571,0,-1,3,0,1,0,0,0,-1,0,0,0,0,0,"hi i'll be on today null"
p,c1f43e1c992120a1c460b8ef7d0b4e9b,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"hun where are you null"
p,f069dbec9ab3e090972d432db279e3eb,0,-1,18,0,5,0,0,0,-1,0,0,4,-2,8,"i cant stay long i just needed to see u and say hi hi i didnt want to leave so fast either ok u r sweet i cant beleive i gave u my number lol it is with me for sure : ok....ill check back in a lil bnit luv...k email me if i dont come back and u have to leave ok i did : ok bye for now sweet cutieann mmm u r something : null"
p,9f1180d3743c2e880a36aaefbb0a80ef,0,-1,2,0,5,0,0,0,-1,0,0,0,0,15,"i hope to talk to u tomorrow i have good new and most likely even greater new to tell you  if dont see u tomorrow and not sat. i try 2 see you on sun or on the week days. hope 2 talk 2 you soon i cant wait 2 tell you the news. love u even more. sweet dreams. null"
p,0b6b05c740a1bf50ca7f9a461598a3b9,0,-1,3,1,0,0,0,0,-1,0,0,0,0,0,"hello? yep yep yep null"
p,6f35a1f69fd4ae82056e4bc6a8a84575,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"hey null"
p,89319407d854bb82113349ecf7ce3682,0,-1,2,0,1,0,0,0,-1,0,0,1,-4,0,"u must be tired  u signed ur xanga but never signed on yahoo. miss u null"
p,d79fcf39ef0828bb234b60b90a1fd725,2,-1,25,1,4,0,0,0,-1,1,1,3,-5,20,"lynda? im so sorry  i woke up late and then i went to eat something ok heres the thing...if i leave by 2...i can only stay like 1-2 hours next weekend i could stay 4-5 hours lol i just want to make the most of the few times i come to see you per month okay but do realize that in 2 weekends he may work and i could stay longer than too but if i come today i may not be able to in 2 weekends well maybe i still can lol and why is that lol dont call the cops lol me too but you are fine with 2 hours? alright let me see what i can do call me in 2 hours crap i wont even have time to shower eww bunch of cologne lol ok call me in 2 hours and what about your dad what if i am in your house and he comes ok call me in 2 hours ok null"
p,d18fb2dc834414a71aace67bee91c432,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"u here? null"
p,1290ea419856093edf96b1263cb1ca1e,4,-1,33,1,3,0,0,0,-1,2,2,3,-2,3,"hi how r u aimee? yes so u came early tonight what is heppening honey? oh ok it was expected by 1st and 2nd so 2 days early? yah just 2 days so how is ur mom? many girls message me so i have to chat for a while and say bye no just chat friends most of them one time friends no ur age girls i found 2 or 3 nothing just one more old friend messaged me she is mother of 2 kids and now she is pregnent for the 3rd one oh ok so u will come back soon? ok i will wait for u :-* ok so where is ur mom tonight? ok i could not get u so when ur expecting ur mom? u said " i not like cramps " null"
p,1290ea419856093edf96b1263cb1ca1e,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"r u back? null"
p,6f35a1f69fd4ae82056e4bc6a8a84575,1,-1,4,0,2,0,0,0,-1,0,0,3,-2,2,"my valentines day song to u! thinking of u alot today!  ill be on all night tommroww and satyrday night maybe u can call me and we can talk on the phone this weekeend! hopefully ! it would be nice! null"
p,f91e272c9481c92c08505fffbe726053,0,-1,3,0,0,0,0,0,-1,0,0,0,0,0,"whats up how have you bee? been? null"
p,e4c7c376bbd07aeb4a59684a2b94a664,0,-1,5,0,1,0,0,0,-1,0,0,0,-3,0,"i miss you baby how are you? sorry i havent been on much > null"
p,fac3a2081264f1dbb943eaf7165d8fc3,2,-1,2,0,0,0,0,0,-1,1,1,0,0,9,"hey sexy little lady hope u had a good night sleep any wild dreams just wondering wont be back until 11pm if your up if not i will just have to wait until tomorrow  null"
p,0b6b05c740a1bf50ca7f9a461598a3b9,1,-1,14,1,0,0,0,0,-1,0,0,3,-2,4,"yeah im here im chargin my cell and getting dressed how am i late? i asked you lastnite 4 30 was ok member? well i did lol ok ill call you in a few hey wait heres my cell call me when you get out of the shower 9899151974 ok ima go cash me check and head that way right now pk ok null"
p,fac3a2081264f1dbb943eaf7165d8fc3,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"u awake null"
p,2e265f9b8ee76269872d56d5c6c0335b,0,-1,2,1,0,0,0,0,-1,1,1,0,-4,0,"damn u signed out this same min null"
p,fac3a2081264f1dbb943eaf7165d8fc3,1,-1,29,1,4,0,0,0,-1,2,2,1,-3,17,"i am back u want your suprise k got to get a pen and paper got to write some numbers down i got a calling card for u to use to call me unless u dont want too i know u r worth the .99 cents i spent on it just kidding ready u do have a touch tone phone lol when u use the phone u have do u push button lol k first 1-800-986-5171 going to ask for this number 704 7470 065 then will ask for the phone number 512-785-3204 u r not mad i hope well if nothing else i will at least get to maybe here your sexy voice k but the million dollar question is will u use it it ok k thank u ;;) i will be here null"
p,850f47f5c88b660f1b096785ddc197a1,1,-1,13,0,2,0,0,0,-1,1,1,0,-12,4,"hey what happened to you? i'm here lol no i'm at home yeah  i didn't see you on line all week  so i got worried awwww i missed you  babe i was afraid to leave without checking in with you one last time hey! don't worry i will get down there can you call me? null"
p,aebe7a87ad50fbad92d9931c49cae848,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"heey null"
p,a03edc2f70bbebc73ef3ba3f06968360,0,-1,2,0,0,0,0,0,-1,0,0,0,0,0,"u there? null"
p,a03edc2f70bbebc73ef3ba3f06968360,0,-1,10,0,3,0,0,0,-1,0,0,1,0,13,"but i well get for u. now tell me how much u love me. awwww mwah do i get a big kiss to yeah had a dream i was holding u. yeah i woke up smiling what thxs kiss null"
p,a03edc2f70bbebc73ef3ba3f06968360,0,-1,2,0,0,0,0,0,-1,0,0,0,0,1,"cool null"
p,d18fb2dc834414a71aace67bee91c432,1,-1,3,0,8,0,0,1,-1,0,0,0,0,2,"hey there. i should be home at like around 945 tonight. don't goto bed without talking to me lol. i have school tonight :(. or if you have aim u can message me there. i'm always on it during class. my screen name is jkspeedster1982. null"
p,1eb17bd9642e93fa84969b71bf387a1b,2,-1,19,0,0,0,0,0,-1,4,4,4,-11,26,"hi i got to work in morning but i cant sleep u that sucks not much bord huh very bord i should play with myself lol whats funny feels good lol did u ever play with it nothing your wet pussy u dont like it do u know what cum is when u play with it finger it fast and it squirts juice out taking the pressure off its called cumming feels good just like a guy squirts out his cock you make your self do it feels good thats what happens ill teach ya girl lol tell ya how your to young to do it wityh id go to jail if got cought null"
p,1eb17bd9642e93fa84969b71bf387a1b,0,-1,15,0,0,0,0,0,-1,2,2,2,-10,1,"i can pick u up somewhere we can do it in my truck sometime chevy u ever hear of giving head when u suck on a guys cock oh its ok told ya ill teach ya and you will be ready well i need go to bed when do u want me to come meet ya im off thgis weekend k when k edit k bye hunny null"
p,d090448efc59f5f5b3b5c2875d070a3a,0,-1,37,0,11,0,0,0,-1,0,0,3,-2,19,"hi when did u come from shop? ok. no prob job for u? ok ur dad has car? ok. good did u eat any when u go outside? ohh good where is ur dad now? ok. fine he will not come to ur room again? ok. good when do u sleep daily? ok did ur dad tell any thing about the schedule? ok. is it not posible to call me now? ok. no prob. carry on for sleep :x :-* have good sleep. i am in ur pillow only hug me why? ok then what else? when is ur scool? i mean at what time it starts is it? r u korean? i was in seoul  south korea for a project it is very good place yess i went for a project on software i was there for 6 months null"
p,d090448efc59f5f5b3b5c2875d070a3a,0,-1,11,0,7,0,0,0,-1,0,0,0,-1,5," r u there? ok. good. it is nice no ok. fine carry on. bye confirm me tomorrow :x :-* gn =; bye null"
p,fac3a2081264f1dbb943eaf7165d8fc3,0,-1,2,0,1,0,0,0,-1,0,0,0,0,3,"have a nice day;;) null"
p,fac3a2081264f1dbb943eaf7165d8fc3,2,-1,4,1,3,1,0,0,-1,1,1,0,0,18,"such sexy photos u have love then all hope u had a good evening good moring it is 4:35am yes i am up that early love your last 2 photo u had up. also wanted to say the i think your a 30/32a-22-28 for your measurements null"
p,d18fb2dc834414a71aace67bee91c432,0,-1,2,0,2,0,0,1,-1,0,0,0,-2,4,"lol i did answer you :(.i said yes i do miss you :( dork null"
p,a03edc2f70bbebc73ef3ba3f06968360,2,-1,13,0,1,0,0,0,-1,0,0,4,-5,7,"hey sorry had phone problems what yoou doing cool and get what nice i missed you too baby i cant wait to see you yuppers am flyin tomorrow moring 7am was suppose to but the my flight got canseled :-* its ok i still love you null"
p,ca2ac2fc60098c8f3346aed97ccacbec,2,-1,34,0,6,1,0,0,-1,1,1,3,-7,21,"hi wusup yeah? i just got home yeah :) ran only 2 miles todat was tired haha no you said lol so i laughed with you yeah are you sensitive? like on what i say or when i laugh? no why would i do that i would rather laugh with you :) i can be silly too ;) yup friday finally! yeah of course isnt it? :) no work girl! for 2 whole days haha i am being silly huh? like a kid so what did you do today :) good girl :) reading cnn null"
p,ca2ac2fc60098c8f3346aed97ccacbec,1,-1,14,0,0,0,0,0,-1,1,1,2,0,5,"havent decided yet it depends what i feel like italian or mexican yeah indian? yeah? you ear phillipino food at home? oh ok yeah is fillipino food spicy? i see yeah null"
p,afe8ba8af6d0677a79ce0284cb9cc63a,0,-1,2,0,1,0,0,0,-1,0,0,0,0,0,":-* null"
p,2a77f862a19d8d47d21692543e90dee8,4,-1,2,0,0,0,0,0,-1,0,0,0,-4,7,"hi hun i hope your feeling better and that everything is ok ill keep checking through out the day to see if your on if i dont hear from you and i think you will really like your necklace miss you null"
p,fac3a2081264f1dbb943eaf7165d8fc3,1,-1,2,0,0,0,0,0,-1,0,0,0,-2,10,"sorry about that big lighting strike knocked out the power just now got me internet back up well hope you have a wondering day hope to talk to you latter on this evening hope you had some sweet dreams  null"
p,c62283536cf6261e5ffbcb323c8a2571,1,-1,5,0,1,0,0,0,-1,0,0,1,0,0,"just wanted to let you know i'm canceling my internet tuesday guess your not coming on bye =(( null"
p,3e97c68b68f9aa0fb7d705a65c6a8443,0,-1,2,1,0,0,0,0,-1,0,0,1,0,0,"hello how was your sking null"
p,e4c7c376bbd07aeb4a59684a2b94a664,1,-1,4,0,1,0,0,0,-1,0,0,0,-1,0,"sorry i had to go so soon ttyl :-* null"
p,8cd850ea4215ee7c4b94b6bcc0bae593,2,-1,22,2,0,0,0,0,-1,2,2,1,-10,2,"oh yeah  hi  how could i forget you i m sorry u still grounded? kewl  maybe we can hook up soon can u call sometime soon? ok ok  maybe tomorrow? ya  me too i just hate for n e one to be sick  it sux then u might get it too me too it was ok how was yours? how did u do it in the first place? just an accident ya  but at least u didnt do it on purpose i m sorry when u want to try to meet? for sure where does she work? oh  ok null"
p,8cd850ea4215ee7c4b94b6bcc0bae593,0,-1,11,0,1,0,0,0,-1,0,0,2,-3,0,"u ever do stuff with an older guy b 4? ya  but not in his 40's ok  call me when u can ok no  not at all hey  i gtg  i got a call will u be on tomorrow? a friend that is stuck i will look for you tomorrow bye lissa null"
